"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","korsan indirme sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","online taciz","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","online taciz anlatımı","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","online taciz ifadesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","online taciz sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","özel bilgileri yaymak","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","özel bilgileri yaymak ifadesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","özel bilgileri yaymak sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","sahte hesap","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","sahte hesap anlatımı","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","sahte hesap ifadesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","sahte hesap sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","siber zorbalık","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","siber zorbalık anlatımı","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
