TOTAL 78
CRITICAL 75
HIGH 3

LINE   19 | CRITICAL | compare   | endpoint_or_url_literal             | value='PDF endpoint' | snippet='"PDF endpoint"'
LINE 1124 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor:input' | snippet='"/api/tema-kazanim/rapor:input"'
LINE 1169 | HIGH     | compare   | comparison_with_string_literal      | value='Özet güvenilir üretilemedi.' | snippet='"Özet güvenilir üretilemedi."'
LINE 1187 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor' | snippet='"/api/tema-kazanim/rapor"'
LINE 1192 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor' | snippet='"/api/tema-kazanim/rapor"'
LINE 1195 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor' | snippet='"/api/tema-kazanim/rapor"'
LINE 1201 | CRITICAL | literal   | endpoint_or_url_literal,file_path_or_pdf | value=' endpoint=/api/tema-kazanim/rapor pdf_function=theme_gain_analysis.build_pdf_report request_kitap_ozeti_var=' | snippet=' "\n            f"endpoint=/api/tema-kazanim/rapor "\n            f"pdf_function=theme_gain_analysis.build_pdf_report "\n            f"request_kitap_ozeti_var='
LINE 1220 | CRITICAL | call_arg  | file_path_or_pdf                    | value='/' | snippet='"/"'
LINE 1220 | CRITICAL | call_arg  | file_path_or_pdf                    | value='\\' | snippet='"\\\\"'
LINE 1253 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/rapor' | snippet="'/api/rapor'"
LINE 1336 | HIGH     | compare   | comparison_with_string_literal      | value='Eksik Analiz' | snippet="'Eksik Analiz'"
LINE 1337 | HIGH     | compare   | comparison_with_string_literal      | value='Eksik Analiz' | snippet="'Eksik Analiz'"
LINE 1367 | CRITICAL | literal   | file_path_or_pdf                    | value='application/pdf' | snippet="'application/pdf'"
LINE 1382 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/karsilastir' | snippet="'/api/karsilastir'"
LINE 1428 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/professional/kelime-degerlendirme' | snippet="'/api/professional/kelime-degerlendirme'"
LINE 1492 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/professional/metin-analiz' | snippet="'/api/professional/metin-analiz'"
LINE 1559 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/professional/profiller' | snippet="'/api/professional/profiller'"
LINE 1569 | CRITICAL | dict_value | file_path_or_pdf                    | value='Maarif/MEB' | snippet='"Maarif/MEB"'
LINE 1588 | CRITICAL | call_arg  | file_path_or_pdf                    | value='/health' | snippet="'/health'"
LINE 1604 | CRITICAL | call_arg  | file_path_or_pdf                    | value='/version' | snippet="'/version'"
LINE 1605 | CRITICAL | call_arg  | file_path_or_pdf                    | value='/debug-build-id' | snippet="'/debug-build-id'"
